Fecha,IPC_NG_base _2014,M0_Base_mill_ars,M2_ars,M2_mon_ext,M3_ars,M3_mon_ext,Pases_Pasivos,TCN,M0_Base_mill_ars_lag18,M0_Base_mill_ars_lag24,M2_ars_lag18,M2_ars_lag24,M2_mon_ext_lag18,M2_mon_ext_lag24,M3_ars_lag18,M3_ars_lag24,M3_mon_ext_lag18,M3_mon_ext_lag24,Pases_Pasivos_lag18,Pases_Pasivos_lag24,TCN_lag18,TCN_lag24,Inflacion mensual
2016-12-01,0.17058677642045308,0.288931932448068,0.3023312758694559,0.2654429174769452,0.23004859233415717,0.23844365890191158,0.2959635766622774,0.13368198018346825,0.17645019305011064,0.2156062988313696,0.22108893603753346,0.2708989710808137,0.03606380923604633,0.014796050384212051,0.19741682019840476,0.22502994541466056,0.04758734785853256,0.029134540003941566,0.2924825348390691,0.3280593674207812,0.20276649139579356,0.24546966370105835,1.829421456394309
2017-01-01,0.17709379420809798,0.29383494967566814,0.26500755581247815,0.38116533231830324,0.222887170226913,0.3214584894960869,0.4555731834646583,0.13150285886020557,0.218084437827587,0.1966687583052626,0.23081068836663993,0.2175037928925022,0.03842532170375837,0.01725769216822401,0.21111690864316332,0.22584643768116108,0.05180401267691747,0.030830440325737805,0.05049603415716168,0.1090155886551904,0.20879541108986618,0.2491776964284776,1.4746109174821997
2017-02-01,0.18747323448101424,0.2834764344141709,0.24577399784907292,0.3790767782688595,0.23497912017618938,0.31707350757661407,0.8824127749192056,0.12932373753694285,0.20595347595232238,0.19460680362561522,0.23700109784611118,0.21572951225843393,0.039049013417481564,0.026910281025116112,0.2181246211457388,0.23389805936036764,0.05218175259673366,0.03885112539239953,0.2598858635803157,0.10624339309338769,0.21481835564053536,0.25536709699239296,2.3179923075117514
2017-03-01,0.2030588107635449,0.2361975798667742,0.24961668045434268,0.42234596548539316,0.22677013987788922,0.3492781043769847,1.0273529594553081,0.12791809593974962,0.22916135016312683,0.18673828993516312,0.24778779772416384,0.23458474061752932,0.028066966632965058,0.027956775017548716,0.2301056005087989,0.2407241366700533,0.04432346116612514,0.04424955338287223,0.14792587957623896,0.36536327623065146,0.2221020554493308,0.2615564975563084,3.401801055383147
2017-04-01,0.21363440290728117,0.26863470893702124,0.2588148745289363,0.32076477678616344,0.23493735156223944,0.2789821791755821,0.8873432359830841,0.12483359822580144,0.24368796032797865,0.22409096239583437,0.26430701444315174,0.2379700136768146,0.03928036870221752,0.03165415591694196,0.24396433533437326,0.24711516986174253,0.056487297494223127,0.0480005815806116,0.19998957879404763,-0.2800029258068429,0.22953513384321222,0.2676337459016251,2.2323517987834496
2017-05-01,0.22028535553399597,0.2380376817368888,0.26112067325976307,0.30817467297150763,0.23633719401445416,0.27453451066889434,0.6265135691505662,0.13120420712675365,0.23652825313675865,0.21500700684307333,0.3070892749944643,0.26075449570416703,0.037830526652467354,0.029027784071857254,0.27193525014254233,0.26334841563395467,0.05527467442227924,0.04766221908927854,0.9891864293657029,0.3545542309151309,0.23775693116634802,0.2734516422414323,1.373262136575093
2017-06-01,0.22462380477943517,0.29794845990465396,0.3174930104885773,0.29750716183045506,0.2686974121190606,0.27094607182423375,0.6680559551168423,0.13908974343272373,0.33338863504953015,0.24180273576710123,0.3443702836481141,0.3062134514851125,0.10318033090934557,0.04359021757815854,0.29983698803481273,0.29968220161797726,0.15342407388159862,0.05974821113043474,0.10076624562423696,0.45421841173770006,0.34534536328871895,0.2799634804338189,0.8836508315233083
2017-07-01,0.2352774459976329,0.29729358829755015,0.31779954675483224,0.3745373798015043,0.27228701754144385,0.33651579094531436,0.37436837150610286,0.15891946483870453,0.2938604427181269,0.2904801563221215,0.32027251073737356,0.3176282093920091,0.12426214684938185,0.04635359236624602,0.2971194387838382,0.31693020260893634,0.19075898844591826,0.06473830791005536,0.0701996468090079,0.10766416900631684,0.4784118068833652,0.287036079719199,2.1509159795425337
2017-08-01,0.24275867586541444,0.30212007486402076,0.32822953253910775,0.4033097907029059,0.27669099066806796,0.3562161705753931,0.21963820672805454,0.16358295405191264,0.26140447706353875,0.27629702567821873,0.30034373175294493,0.324896654746368,0.1501951920205452,0.047083418687642306,0.28934551167184586,0.32575270274651913,0.23208722092544645,0.06518533389827011,0.13725750629509897,0.4075359947772165,0.5477115200764818,0.2941016694909166,1.4786184222589815
2017-09-01,0.2494334743225036,0.3255320459230355,0.33780318235764245,0.38045725090562815,0.28351918156853473,0.34258982087223905,0.32169993311510325,0.1603797493398101,0.2768365507403125,0.30343092612928424,0.28284179335711357,0.3375618167001121,0.1712153691134636,0.03423253959178373,0.2845621470579157,0.3408363968963756,0.2370595004899832,0.055885653594010196,0.4767570785503331,0.24719561478323632,0.5564890057361377,0.30264626664540456,1.3000100949659643
2017-10-01,0.2555383839392687,0.32710721790091435,0.34406271454105464,0.35880935951192117,0.2933502970252645,0.3285903476101363,0.41384753096003657,0.16426693246984986,0.27633422620058207,0.3204149717391584,0.27395418927935283,0.35695779113717496,0.16345760966997927,0.04735414406795315,0.28085927771892527,0.3582841289288208,0.22488120917815904,0.07028061337929453,0.24654080085981228,0.32175719489360655,0.5235062141491396,0.3113661016414529,1.1737573311047855
2017-11-01,0.2668361472774087,0.33515297858486515,0.3619691254907266,0.38490315860470425,0.3079791965146952,0.349651653375314,0.5107659706257732,0.16501497498202908,0.28032320247514525,0.31204407225820124,0.28874991226834806,0.40719041694074654,0.18090788554663542,0.045657580098138355,0.29483559855303426,0.3934986728549155,0.23006200425630152,0.06884556773378397,0.41187099121004467,1.4519835345660381,0.5072671970317765,0.32101119244094056,2.146958616896333
2017-12-01,0.28332413077832375,0.4303565173405057,0.4829674705450922,0.40850440359292917,0.3743507161513204,0.3781929106669632,0.43463941532653627,0.16892665320692607,0.3415506200714379,0.4252901169670168,0.33358236037382194,0.450963769099929,0.22217697312334542,0.12212806414553799,0.3288434148085243,0.42862612511596127,0.2695717468197742,0.18499779307268197,0.8930995025174568,0.1796572554711657,0.5074510038240918,0.44722449544644477,3.0674204196174504
2018-01-01,0.2962540467240804,0.4027540238582837,0.4392510056442879,0.4983829435850783,0.38654698628943757,0.4445393024326944,0.1427904089230704,0.19396697804271693,0.37478853307938503,0.37907502522752695,0.3325313715971286,0.42266946221371804,0.246427339079898,0.14679740612544265,0.33343194291353645,0.4252048120081819,0.28906250611230105,0.22918077772029308,0.4656334725547856,0.1358821503498671,0.553375059751434,0.6033263647085008,2.3338882371552794
2018-02-01,0.3103392870817901,0.43177999220853447,0.42862301372618034,0.4313190900289226,0.4305672872130912,0.39728250401128534,0.15973724307860293,0.20926494512209015,0.3954663348753424,0.34112855356383603,0.3434101202851462,0.3992701634261702,0.23966098777073605,0.17714351870546946,0.34191876842689806,0.415417670627895,0.28296838557029724,0.2780895453568201,0.38041024933676915,0.2319172004369702,0.5498153137493481,0.6846227041652284,2.4844435887829697
2018-03-01,0.32044696318038285,0.42591203467989974,0.4502396655853873,0.4319911981604846,0.4310281479098233,0.4026426614349783,0.0680217995547362,0.21674296260635353,0.39871807734409176,0.35917123800341927,0.347851267878748,0.3787203301320531,0.2606543826968388,0.20174073265792514,0.3459113824491751,0.4093955578558602,0.3032622000694503,0.283973853764305,0.5481294249207267,0.7181220789694275,0.5648085781331481,0.6949196797353209,1.7396354404662695
2018-04-01,0.338553684075946,0.4289746623785008,0.43749214426084576,0.4567012009805185,0.437893049010031,0.4242078810912798,-0.02535959592093024,0.21668831970244112,0.3893288337874362,0.3585839363000678,0.3705283101404398,0.3682849841691396,0.56953376252875,0.1926628229914384,0.36293513499864527,0.4047337562707227,0.5402185695218944,0.2695617876234415,0.8031121200687944,0.3884242340290987,0.5696044455066921,0.6562271643187717,3.063067450747181
2018-05-01,0.35116436973046955,0.4456087525368297,0.48050405693057235,0.5417139595071012,0.44636182979467276,0.5109069910560539,-0.12195288527669884,0.28138928641078087,0.436553541565543,0.3632477191244882,0.41364380938773626,0.3856573251072272,0.5447946621079036,0.21308263997823684,0.39933136924144763,0.4223295255658401,0.5231047665013625,0.27569285801883886,1.0233556085863207,0.6251972720126348,0.5790989483747612,0.6371769751161431,2.06991441572999
2018-06-01,0.3708221821996957,0.4638664461838288,0.5571921776983848,0.6626817202294449,0.4829736109255101,0.6284015282603101,0.4748102581671292,0.3353821281903683,0.5532541208323808,0.43483284746684114,0.5565992291248484,0.43829717070022073,0.5544887102505026,0.2613745536124445,0.4729990582875394,0.4651443475898146,0.5428129934376401,0.32244958344553304,1.0037160298505672,1.314375312303872,0.608359225621415,0.6373926011078538,3.1611938329362044
2018-07-01,0.3933935954581297,0.48213232037664355,0.4802020856267795,0.6281020658312277,0.5049369507006883,0.59868414885618,0.05290703960027795,0.3559297442994733,0.5601702764284202,0.4736935468383909,0.5078261806650854,0.43706315629184067,0.7865204191011121,0.28975164278833093,0.462877946976864,0.4709211670330914,0.7205808529769393,0.3455153900408157,1.4879769147867319,0.7021917157410399,0.6014489722753348,0.6912666716901513,3.51850628610193
2018-08-01,0.4155718663410137,0.5936233707734205,0.5658158124997211,0.8822065995939926,0.5389800184088118,0.8542241915485356,-0.002208893851208111,0.40303192747190847,0.5455586403751792,0.4978693679576369,0.4826925859116481,0.4498363969998873,0.782332719027763,0.28183385075008,0.47996728615657025,0.4816058261471397,0.7111908579078184,0.3383034695773531,2.783022510253274,0.5801416447568302,0.5945387189292544,0.6870906902029142,3.339713912977338
